"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72295023174","2020-05-10T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","57","63","0.00",,"+0.00","5","81","29.92","OVC:08 7","29.58","10.00","60","270",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10405/10/20 00:53:02 METAR KLAX 100853Z 27007KT 10SM OVC007 17/14 A2993 RMK AO2 SLP132 T01720139 55001 (RA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","57","64","0.00",,,,"78","29.91","OVC:08 8","29.57","10.00","60","250",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 01:53:02 METAR KLAX 100953Z 25007KT 10SM OVC008 18/14 A2992 RMK AO2 SLP130 T01780139 (RA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","57","64","0.00",,,,"78","29.93","OVC:08 8","29.58","9.00","60","240",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09705/10/20 02:53:02 METAR KLAX 101053Z 24006KT 9SM OVC008 18/14 A2993 RMK AO2 SLP134 T01780139 (RA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","57","63","0.00",,"-0.01","3","81","29.93","OVC:08 8","29.59","7.00","60","270",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11505/10/20 03:53:02 METAR KLAX 101153Z 27006KT 7SM OVC008 17/14 A2994 RMK AO2 SLP136 T01720139 10183 20172 53004 (RA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T04:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57","63",,,"-0.01","3","81","29.93","8",,"6.84",,"270",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072295 32361 82706 10172 20139 30083 40136 53004 91153 333 10233 20172 555 91012=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.95","59","63","T","BR:1 ||",,,"87","29.94","OVC:08 6","29.60","3.00","61","260",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11505/10/20 04:53:02 METAR KLAX 101253Z 26004KT 3SM BR OVC006 17/15 A2995 RMK AO2 RAB27E36 SLP138 P0000 T01720150 (RA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.96","59","63","T","-DZ:01 BR:1 |DZ |DZ",,,"87","29.96","OVC:08 6","29.61","3.00","61","300",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11605/10/20 05:53:02 METAR KLAX 101353Z 30004KT 3SM -DZ BR OVC006 17/15 A2996 RMK AO2 DZB22 SLP144 P0000 T01720150 (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","58","64","T","HZ:7 |FU |HZ","-0.04","3","81","29.97","BKN:07 8 OVC:08 16","29.63","6.00","60","240",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13105/10/20 06:53:02 METAR KLAX 101453Z 24005KT 6SM HZ BKN008 OVC016 18/14 A2998 RMK AO2 DZE40 SLP149 P0000 60000 T01780144 53013 (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T07:16:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","58","64",,,,,"81",,"SCT:04 9 OVC:08 16","29.63","7.00","60","250",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09705/10/20 07:16:02 SPECI KLAX 101516Z 25006KT 7SM SCT009 OVC016 18/14 A2998 RMK AO2 T01780144 (RD)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2020-05-10T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","57","65","0.00",,,,"76","29.98","FEW:02 9 OVC:08 16","29.64","8.00","60","260",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10405/10/20 07:53:02 METAR KLAX 101553Z 26005KT 8SM FEW009 OVC016 18/14 A2999 RMK AO2 SLP152 T01830139 (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
